Habitat,DEM,sDEM,hDEM,DSM,CHM,Aspect,Slope,Curvature,PlanCurv,ProfileCurv,NDVI,NDRE,NDWI,x,y,Wetland
1.0,17.341787338256836,17.37440299987793,17.341787338256836,19.493074417114258,2.151287078857422,27.570343017578125,16.23780632019043,290.4234924316406,127.61798858642578,-162.80551147460938,0.7845325469970703,0.16272352635860443,-0.6233336925506592,688799.3800320432,22783.88003773944,1
2.0,16.423646926879883,16.58912467956543,16.423646926879883,16.42364501953125,-1.9073486328125e-06,96.35136413574219,5.143213272094727,-26.700761795043945,-12.105588912963867,14.595172882080078,0.4890892803668976,0.1094745621085167,-0.4406696557998657,688868.3620573916,22767.384374120098,0
2.0,16.47966194152832,16.28427505493164,16.47966194152832,16.47966194152832,0.0,165.636474609375,3.0461270809173584,-108.63833618164062,-34.21237564086914,74.42596435546875,0.3847810626029968,0.10807720571756363,-0.46798041462898254,688856.3651834179,22764.08524139623,0
1.0,17.662378311157227,17.43501091003418,17.662378311157227,18.202058792114258,0.5396804809570312,268.55914306640625,29.908327102661133,1738.255859375,842.9266967773438,-895.3291015625,0.8354045748710632,0.1773485541343689,-0.733711302280426,688798.4802664951,22736.792416135137,1
3.0,19.73971939086914,19.49986457824707,19.73971939086914,20.685434341430664,0.9457149505615234,202.71603393554688,30.69019317626953,354.36419677734375,228.69688415527344,-125.66729736328125,0.777158260345459,0.2262515276670456,-0.6832314729690552,689472.1047401143,22724.49564870981,1
1.0,16.783336639404297,16.773239135742188,16.783336639404297,34.808563232421875,18.025226593017578,63.15745162963867,33.53077697753906,-62.40632629394531,-51.59700393676758,10.809324264526367,0.7714740633964539,0.17035828530788422,-0.6116727590560913,688758.8905823822,22700.20203501587,1
1.0,15.99941349029541,15.920345306396484,16.319581985473633,15.99941349029541,0.0,151.5210723876953,0.995608389377594,-111.39128112792969,-123.80821228027344,-12.4169340133667,0.7162197828292847,0.172267347574234,-0.6098842620849609,688844.0683875949,22700.20203501587,1
1.0,16.54243278503418,16.665510177612305,16.54243278503418,18.946195602416992,2.4037628173828125,197.57518005371094,8.804519653320312,0.0021192762069404125,-5.912643909454346,-5.9147629737854,0.7766274213790894,0.18443132936954498,-0.5503433346748352,688728.2985537495,22681.90684445624,1
1.0,16.456798553466797,16.76011085510254,16.557050704956055,22.95625877380371,6.499460220336914,246.1082305908203,8.440898895263672,-128.94947814941406,-6.265596389770508,122.68388366699219,0.7920947670936584,0.11111006140708923,-0.5865735411643982,688770.8874563558,22666.610865463757,1
3.0,15.691884994506836,15.735419273376465,16.319581985473633,16.709144592285156,1.0172595977783203,80.49594116210938,9.520635604858398,183.50918579101562,98.21707916259766,-85.29210662841797,0.6361567378044128,0.17653824388980865,-0.5802344083786011,688938.5437701372,22636.318828635514,1
2.0,16.230552673339844,16.336191177368164,16.319581985473633,16.230552673339844,0.0,149.33224487304688,2.2028017044067383,462.0128173828125,231.37661743164062,-230.63619995117188,0.6438410878181458,0.17829298973083496,-0.5845897197723389,688773.8866748492,22630.02048434449,0
3.0,16.463220596313477,16.49981117248535,16.463220596313477,16.846073150634766,0.38285255432128906,248.2917022705078,27.437538146972656,459.8490295410156,300.29681396484375,-159.55221557617188,0.6684574484825134,0.1660623550415039,-0.5261517763137817,688865.3628388981,22615.024426508728,1
1.0,16.38553810119629,16.70305061340332,16.458736419677734,18.878860473632812,2.4933223724365234,325.5270690917969,13.21827507019043,161.696533203125,-109.71257781982422,-271.40911865234375,0.8477572202682495,0.2782737910747528,-0.6615633368492126,688743.5945680658,22596.729235949093,1
1.0,16.93899917602539,17.053373336791992,16.93899917602539,20.41022300720215,3.471223831176758,115.71049499511719,5.796658039093018,678.3252563476562,232.60366821289062,-445.7215576171875,0.7474720478057861,0.1753154993057251,-0.5765509605407715,688694.7073066232,22566.137277964135,1
